"Дата, время","Ручей 7: Уровень металла в кристаллизаторе, мм","Ручей 8: Уровень металла в кристаллизаторе, мм"
08.02.2025 15:50,685,698
08.02.2025 15:51,691,781
08.02.2025 15:52,720,620
08.02.2025 15:53,727,806
08.02.2025 15:54,689,790
08.02.2025 15:55,785,732
08.02.2025 15:56,750,668
08.02.2025 15:57,673,774
08.02.2025 15:58,627,768
08.02.2025 15:59,726,637
08.02.2025 16:00,721,786
08.02.2025 16:01,706,757
08.02.2025 16:02,793,800
08.02.2025 16:03,655,729
08.02.2025 16:04,694,654
08.02.2025 16:05,811,631
08.02.2025 16:06,656,659
08.02.2025 16:07,686,629
08.02.2025 16:08,652,719
08.02.2025 16:09,620,807
08.02.2025 16:10,801,772
08.02.2025 16:11,734,719
08.02.2025 16:12,709,649
08.02.2025 16:13,627,743
08.02.2025 16:14,782,637
08.02.2025 16:15,716,781
08.02.2025 16:16,765,662
08.02.2025 16:17,749,812
08.02.2025 16:18,733,790
08.02.2025 16:19,784,659
08.02.2025 16:20,730,686
08.02.2025 16:21,779,644
08.02.2025 16:22,732,770
08.02.2025 16:23,793,811
08.02.2025 16:24,746,705
08.02.2025 16:25,703,689
08.02.2025 16:26,755,815
08.02.2025 16:27,724,764
08.02.2025 16:28,655,800
08.02.2025 16:29,731,756
08.02.2025 16:30,724,763
08.02.2025 16:31,814,765
08.02.2025 16:32,798,817
08.02.2025 16:33,800,804
08.02.2025 16:34,718,641
08.02.2025 16:35,716,704
08.02.2025 16:36,658,658
08.02.2025 16:37,644,671
08.02.2025 16:38,789,708
08.02.2025 16:39,762,770
08.02.2025 16:40,709,819
08.02.2025 16:41,642,661
08.02.2025 16:42,771,697
08.02.2025 16:43,776,791
08.02.2025 16:44,776,774
08.02.2025 16:45,718,738
08.02.2025 16:46,706,751
08.02.2025 16:47,630,816
08.02.2025 16:48,654,768
08.02.2025 16:49,710,811
08.02.2025 16:50,751,687
08.02.2025 16:51,697,694
08.02.2025 16:52,756,767
08.02.2025 16:53,641,621
08.02.2025 16:54,704,709
08.02.2025 16:55,811,733
08.02.2025 16:56,683,739
08.02.2025 16:57,787,634
08.02.2025 16:58,798,791
08.02.2025 16:59,734,644
08.02.2025 17:00,620,631
08.02.2025 17:01,775,685
08.02.2025 17:02,668,667
08.02.2025 17:03,769,633
08.02.2025 17:04,794,806
08.02.2025 17:05,779,738
08.02.2025 17:06,773,682
08.02.2025 17:07,721,800
08.02.2025 17:08,635,744
08.02.2025 17:09,623,745
08.02.2025 17:10,753,801
08.02.2025 17:11,649,802
08.02.2025 17:12,727,652
08.02.2025 17:13,741,634
08.02.2025 17:14,768,701
08.02.2025 17:15,738,679
08.02.2025 17:16,695,629
08.02.2025 17:17,674,784
08.02.2025 17:18,724,812
08.02.2025 17:19,779,670
08.02.2025 17:20,758,784
08.02.2025 17:21,707,808
08.02.2025 17:22,715,720
08.02.2025 17:23,729,650
08.02.2025 17:24,659,769
08.02.2025 17:25,681,624
08.02.2025 17:26,643,772
08.02.2025 17:27,775,724
08.02.2025 17:28,701,715
08.02.2025 17:29,717,714
08.02.2025 17:30,716,814
08.02.2025 17:31,655,797
08.02.2025 17:32,621,687
08.02.2025 17:33,716,752
08.02.2025 17:34,817,629
08.02.2025 17:35,767,707
